params,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_f1,std_test_f1
"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9027514999712309,0.001878794041053276,30,,
"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9031555403752712,0.002493381652148856,28,,
"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9019029857415507,0.0015886875248613342,31,,
"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9001253401791517,0.0026759475966432757,45,,
"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9005293854800582,0.0024859815888514563,44,,
"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9008120864443735,0.00044667564149382616,42,,
"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9014585070190452,0.0006052147584558564,36,,
"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9014585070190452,0.0006052147584558564,36,,
"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9016605468085288,0.0006577724202431329,34,,
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.43194215822018517,0.001311282536546138,67,,
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.43194215822018517,0.001311282536546138,67,,
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.43194215822018517,0.001311282536546138,67,,
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.4318613550362429,0.0013654764400609937,70,,
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.4318613550362429,0.0013654764400609937,70,,
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.4318613550362429,0.0013654764400609937,70,,
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.4321037743818013,0.0014334784968142286,64,,
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.4321037743818013,0.0014334784968142286,64,,
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.4321037743818013,0.0014334784968142286,64,,
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8946709416305829,0.00035103429546642066,50,,
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8954385939139303,0.0022235646097857934,46,,
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.894670892661924,0.0009473754476841324,51,,
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8941861665987227,0.0015878001712373833,61,,
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8946305620745082,0.0012338055379469929,52,,
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8935800472302714,0.0004338433975457011,63,,
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8945093254689667,0.001697128181072816,54,,
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8945093254689667,0.001697128181072816,54,,
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.893741643804424,0.001539060646731393,62,,
"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9018222070419379,0.0022280353356751597,32,,
"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.902832308052039,0.0025965265070928643,29,,
"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9018221776607427,0.0016631842482331322,33,,
"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9008930169468287,0.0024697714964995315,40,,
"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9008526178032904,0.002474912742613375,41,,
"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9008120864443735,0.00044667564149382616,42,,
